Timestamp,Username,Source_IP,Destination_IP,Protocol,Traffic_Type,Malware_Indicator,Anomaly_Score,Alert,Threat_Type,Attack_Signature,Action_Taken,Severity,Device_OS
2022-03-21 14:15:51,user1,65.126.89.188,48.167.47.144,UDP,HTTP,IoC Detected,69.21,no,Malware,Known Pattern A,Logged,Medium,Macintosh
2022-03-24 00:20:34,user2,20.97.15.71,129.157.131.193,ICMP,FTP,IoC Detected,55.69,yes,DDoS,Known Pattern A,Logged,Medium,Linux
2022-01-28 11:55:36,user3,7.27.208.195,103.46.68.72,ICMP,DNS,IoC Detected,32.58,no,DDoS,Known Pattern A,Logged,High,Linux
2023-06-13 02:16:32,user4,160.157.150.216,207.176.114.6,ICMP,DNS,IoC Detected,9.42,yes,Malware,Known Pattern B,Logged,High,Macintosh
2021-12-04 19:40:16,user5,93.229.203.116,181.60.4.157,TCP,FTP,IoC Detected,13.88,yes,Malware,Known Pattern B,Ignored,High,Windows
2021-07-16 08:43:03,user6,148.37.16.82,56.224.191.183,UDP,FTP,No Detection,84.36,no,DDoS,Known Pattern B,Logged,Low,Windows
2022-11-28 18:43:15,user7,121.190.14.3,90.156.132.16,UDP,FTP,No Detection,89.23,no,Intrusion,Known Pattern B,Ignored,Low,Windows
2021-04-25 03:23:55,user8,128.123.27.74,40.42.133.125,UDP,HTTP,No Detection,5.24,no,Intrusion,Known Pattern B,Ignored,Low,iPod
2021-08-09 18:22:50,user9,143.64.36.106,64.56.198.121,TCP,HTTP,IoC Detected,9.53,yes,Malware,Known Pattern A,Ignored,Medium,Linux
2022-03-16 06:47:06,user10,82.118.18.66,28.144.192.143,ICMP,DNS,IoC Detected,98.87,no,Intrusion,Known Pattern A,Logged,High,Windows
2020-10-28 22:05:57,user11,212.49.55.54,198.168.239.139,TCP,FTP,IoC Detected,41.94,no,Intrusion,Known Pattern B,Logged,Low,Windows
2023-10-11 12:36:21,user12,15.87.212.52,155.139.226.246,UDP,DNS,No Detection,2.02,yes,Intrusion,Known Pattern B,Logged,Medium,Windows
2022-04-05 22:07:54,user13,178.97.140.48,30.125.194.29,UDP,FTP,No Detection,75.05,yes,DDoS,Known Pattern B,Blocked,Low,Macintosh
